fold,strategy,model,position_strategy,trading_method,confidence_threshold,total_return_pct,alpha_pct,final_capital,num_trades,win_rate,max_drawdown
1,Futures Day Trading,SVM,fixed_10,futures_day,0.3,-3.9292346683665103,-59.576084638207796,960707.6533163349,20,0.35,0.07614379384316934
1,Futures Swing Trading,SVM,fixed_10,futures_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,SVM,fixed_30,spot_day,0.0,4.801029060229833,-50.84582090961145,1048010.2906022983,10,0.2,0.09245074235523468
1,Spot Swing Trading,SVM,fixed_30,spot_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,SVM,fixed_30,futures_day,0.0,-22.053493384515644,-77.70034335435693,779465.0661548435,150,0.4266666666666667,0.4020223693602662
1,Futures Swing Trading,SVM,fixed_30,futures_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,SVM,fixed_30,spot_day,0.2,20.12346708285888,-35.523382886982404,1201234.6708285888,1,1.0,0.058424498881695895
1,Spot Swing Trading,SVM,fixed_30,spot_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,SVM,fixed_30,futures_day,0.2,-20.22636407923566,-75.87321404907695,797736.3592076434,56,0.3392857142857143,0.24221321060053136
1,Futures Swing Trading,SVM,fixed_30,futures_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,SVM,fixed_30,spot_day,0.3,23.10304945560244,-32.54380051423884,1231030.4945560244,1,1.0,0.061077279693671556
1,Spot Swing Trading,SVM,fixed_30,spot_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,SVM,fixed_30,futures_day,0.3,-11.781790803742787,-67.42864077358408,882182.0919625722,20,0.35,0.21408322891846446
1,Futures Swing Trading,SVM,fixed_30,futures_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,SVM,fixed_50,spot_day,0.0,7.335216561964897,-48.311633407876386,1073352.165619649,10,0.2,0.15012326887637828
1,Spot Swing Trading,SVM,fixed_50,spot_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,SVM,fixed_50,futures_day,0.0,-37.38796975732852,-93.0348197271698,626120.3024267148,150,0.4266666666666667,0.5912009651818364
1,Futures Swing Trading,SVM,fixed_50,futures_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,SVM,fixed_50,spot_day,0.2,33.706450734218585,-21.9403992356227,1337064.5073421858,1,1.0,0.09180474772576737
