fold,strategy,model,position_strategy,trading_method,entry_date,entry_price,exit_date,exit_price,total_return_pct,annual_return_pct,alpha_pct,final_capital,buy_hold_return_pct,num_trades,win_rate,profit_factor,avg_win,avg_loss,avg_trade,expectancy,max_drawdown,max_dd_duration,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,trading_frequency,days
1,Futures Swing Trading,DTW_LSTM,kelly,futures_swing_trading,,,,,2.7865603939614125,5.941544427005696,-52.860289575879875,1027865.603939614,55.646849969841284,1,1.0,27865.603939614044,27865.603939614044,0.0,27865.603939614044,27865.603939614044,0.01217123469819123,69,1.2543907704122164,1.1112676293749533,4.881628342840739,2.0564407293989686,2.2894640215717095,1,0,0.008333333333333333,120
1,Spot Day Trading,DTW_LSTM,confidence_based,spot_day_trading,,,,,2.3625190127785745,5.025806706760894,-53.28433095706271,1023625.1901277857,55.646849969841284,4,1.0,23625.190127785674,11812.595063892837,0.0,11812.595063892837,11812.595063892837,0.005644467767248892,55,2.318803616539465,3.4886143018510745,8.903951468945081,1.5593186197165727,4.185547885465304,2,0,0.03333333333333333,120
1,Spot Swing Trading,DTW_LSTM,confidence_based,spot_swing_trading,,,,,0.9807108622874816,2.070605152637417,-54.6661391075538,1009807.1086228747,55.646849969841284,1,1.0,9807.108622874715,9807.108622874715,0.0,9807.108622874715,9807.108622874715,0.004643482791761126,69,1.1747850951983931,1.0213908605199307,4.459164048828319,1.9732554605574413,2.1120157137817643,1,0,0.008333333333333333,120
1,Futures Day Trading,DTW_LSTM,confidence_based,futures_day_trading,,,,,11.08338502195867,24.699043268692876,-44.563464947882615,1110833.8502195866,55.646849969841284,120,0.49166666666666664,1.7450098622523458,4400.036433686015,2438.824579801451,923.6154184965525,923.6154184965528,0.019830373744931754,24,2.79920208164772,5.399010815221791,12.455157722383047,1.7616694746813562,5.589095376879296,7,4,1.0,120
1,Futures Swing Trading,DTW_LSTM,confidence_based,futures_swing_trading,,,,,3.1483916943199963,6.726229744374068,-52.49845827552129,1031483.9169431999,55.646849969841284,1,1.0,31483.91694319988,31483.91694319988,0.0,31483.91694319988,31483.91694319988,0.01370462025596706,69,1.257193636080649,1.1160380644091255,4.908001548926855,2.0604740194059414,2.297321367185762,1,0,0.008333333333333333,120
1,Spot Day Trading,VMD_Hybrid,fixed_01,spot_day_trading,,,,,0.5897275466719698,1.2424454791709394,-55.05712242316932,1005897.2754667196,55.646849969841284,18,0.7777777777777778,19.33117198331201,888.4261377590956,160.8537487970807,655.2528296355008,655.2528296355008,0.0012239167856339897,31,2.964758108630623,4.783857609097448,10.15138850740863,1.796025700645598,4.818363091298604,4,2,0.15,120
1,Spot Swing Trading,VMD_Hybrid,fixed_01,spot_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
1,Futures Day Trading,VMD_Hybrid,fixed_01,futures_day_trading,,,,,1.5514903345237085,3.285946292995856,-54.09535963531758,1015514.9033452371,55.646849969841284,120,0.5083333333333333,1.468185674267597,797.5944083966776,561.6670435078058,129.2908612103065,129.29086121030656,0.004979483827281832,31,2.3092340597598215,4.156345481852275,6.598969706443583,1.4598219432615063,3.1157653852058615,7,4,1.0,120
1,Futures Swing Trading,VMD_Hybrid,fixed_01,futures_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
1,Spot Day Trading,VMD_Hybrid,fixed_05,spot_day_trading,,,,,2.9702263518490257,6.33947248272253,-52.676623617992256,1029702.2635184904,55.646849969841284,18,0.7777777777777778,19.041156958081615,4478.374981160807,823.1806748176714,3300.2515020544784,3300.2515020544784,0.00610836364883846,31,2.972556800836091,4.807497089900354,10.378348191381855,1.798371660186893,4.862556525124108,4,2,0.15,120
1,Spot Swing Trading,VMD_Hybrid,fixed_05,spot_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0,0,0.0,120
