model,confidence_threshold,total_predictions,base_accuracy,date_start,date_end,initial_capital,final_capital,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,expectancy,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,num_days,years,sufficient_trades,t_statistic,p_value,is_significant,is_very_significant,confidence_95_lower,confidence_95_upper,stat_warning
GradientBoosting,0.05,518,61.77606177606177,2022-10-10,2025-10-05,10000.0,15059.742646939618,5059.742646939618,50.597426469396176,22.041021842022303,500,283,217,56.599999999999994,10.119485293879235,39.385188705465325,28.04730763459478,10.119485293879237,1.8313377774152864,-357.021790632567,2.8721447642688287,2.968631225489606,4.363049815445052,7.67406368795389,14.172083552588836,8,5,518,2.0555555555555554,True,4.181585518237451,3.419522567809251e-05,True,True,0.00043948942322548113,0.0012185005428244269,
GradientBoosting,0.1,518,61.77606177606177,2022-10-10,2025-10-05,10000.0,16972.726621794835,6972.7266217948345,69.72726621794834,29.351377051483475,477,274,203,57.44234800838575,14.617875517389638,49.22104172625335,32.087875917234285,14.61787551738964,2.070448137250093,-448.26008499063755,3.0649105240176175,3.5719958673959757,5.79817366609007,9.576585293918603,15.555091464234359,8,5,518,2.0555555555555554,True,4.914392809699668,1.2273215113211626e-06,True,True,0.000673398191627522,0.0015706559712912556,
GradientBoosting,0.15,518,61.77606177606177,2022-10-10,2025-10-05,10000.0,16191.31621254578,6191.31621254578,61.9131621254578,26.419171567868105,460,265,195,57.608695652173914,13.459383070751716,45.25462541234614,29.749536008850967,13.459383070751711,2.067254949524948,-403.0242281603787,2.939600972391458,3.533765777431425,5.58220613874321,8.987332572003906,15.362143960442049,8,5,518,2.0555555555555554,True,4.774373665430318,2.428014342842158e-06,True,True,0.0006233450679991319,0.0014954451277092357,
GradientBoosting,0.2,518,61.77606177606177,2022-10-10,2025-10-05,10000.0,16718.15550277486,6718.155502774862,67.18155502774862,28.403872382817895,442,252,190,57.01357466063348,15.199446838857098,50.98081205726916,32.25794281924732,15.199446838857098,2.0961242435894487,-418.4586649725734,3.100880105285593,3.7926669584623407,6.782572310522908,9.159938926500958,16.054525966657145,8,6,518,2.0555555555555554,True,5.022912033535775,7.405287223038559e-07,True,True,0.0007154858924181731,0.001635296763476404,
Hybrid_LSTM_GRU,0.0,368,58.69565217391305,2022-11-09,2025-10-05,10000.0,10058.238204139061,58.238204139061054,0.5823820413906106,0.3984399679291206,368,193,175,52.44565217391305,0.1582559895083621,11.125088189346396,11.936593236598728,0.15825598950836284,1.0278797921099647,-232.5649335748294,2.264448879498558,0.12380792724350353,0.12746880712854988,0.17595449892308965,0.25041696202373737,9,5,368,1.4603174603174602,True,0.14961395094776453,0.881151385106693,False,False,-0.00022625918968371505,0.00026352347773760446,
Hybrid_LSTM_GRU,0.05,368,58.69565217391305,2022-11-09,2025-10-05,10000.0,10150.329099830225,150.32909983022546,1.5032909983022547,1.0270044269970358,312,168,144,53.84615384615385,0.48182403791736245,14.104359943097332,15.41113451812594,0.4818240379173613,1.0677401187385933,-211.52525926779708,2.080146765574806,0.2682471768152914,0.26608668158537874,0.493717291487961,0.7106910084904067,11,6,368,1.4603174603174602,True,0.29847790415178854,0.7655377631064229,False,False,-0.0002946197381528916,0.0003999881456443894,
Hybrid_LSTM_GRU,0.1,368,58.69565217391305,2022-11-09,2025-10-05,10000.0,12267.15882248763,2267.1588224876305,22.671588224876306,15.019199227706048,260,145,115,55.769230769230774,8.719841624952402,39.21447441660738,29.72991276452561,8.719841624952403,1.6631174702569036,-389.6813629505068,3.1458986817889576,2.4601694199101938,3.285711823579994,4.774215811414873,5.81798114572798,9,5,368,1.4603174603174602,True,2.4989146290066024,0.01307741905579214,True,False,0.00016948087272606758,0.0014294581497598683,
Hybrid_LSTM_GRU,0.15,368,58.69565217391305,2022-11-09,2025-10-05,10000.0,9748.881439908222,-251.1185600917779,-2.5111856009177793,-1.726498240211638,218,120,98,55.04587155963303,-1.151920000420996,8.257457719696216,12.673607004646156,-1.151920000420997,0.7978133387194822,-237.15789108695571,2.3799657443419036,-0.6829725208747001,-0.5938043940702254,-0.7254298698694257,-1.058866559070992,10,4,368,1.4603174603174602,True,-0.6352303019779378,0.5259474776546682,False,False,-0.00046441396368511836,0.00023802202220936288,
Hybrid_LSTM_GRU,0.2,368,58.69565217391305,2022-11-09,2025-10-05,10000.0,11921.139600307919,1921.139600307919,19.21139600307919,12.787529556886735,163,92,71,56.44171779141104,11.786132517226482,39.136138036541624,23.653311254280467,11.786132517226475,2.143954177865575,-189.77011406365273,1.6460169144686578,3.7437135813007276,6.0127112511402725,7.7687716599283005,10.123509751717439,8,3,368,1.4603174603174602,True,3.010898718035131,0.003022424690826136,True,True,0.0003748568828831168,0.001803631245294144,
KNN,0.0,518,55.4054054054054,2022-10-10,2025-10-05,10000.0,9762.40505344952,-237.59494655048002,-2.3759494655048,-1.163004378209076,518,263,255,50.77220077220077,-0.45867750299322957,4.558755532812919,5.633520202667806,-0.4586775029932295,0.834606985523533,-261.77338350870923,2.61533369445374,-0.5619993072817614,-0.5267096617104737,-0.4446868025580922,-0.9076359993741503,7,6,518,2.0555555555555554,True,-0.8057501401817249,0.42075736980397127,False,False,-0.0001567505638344193,6.556824757313683e-05,
