model,confidence_threshold,total_predictions,base_accuracy,date_start,date_end,initial_capital,final_capital,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,expectancy,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,num_days,years,sufficient_trades,t_statistic,p_value,is_significant,is_very_significant,confidence_95_lower,confidence_95_upper,stat_warning,total_return_pct_norm,sharpe_ratio_norm,win_rate_norm,t_stat_abs,t_stat_norm,dd_norm,composite_score
ExtraTrees,0.1,518,60.231660231660236,2022-10-10,2025-10-05,10000.0,13677.010533880544,3677.0105338805442,36.77010533880544,16.45492822118666,266,163,103,61.278195488721806,13.823347871731421,47.38683334498386,39.29168253739623,13.823347871731427,1.908567134098206,-453.750059288157,3.5507528589619626,3.383443630896362,4.41492646153589,4.634208258019157,8.103603423543433,8,5,518,2.0555555555555554,True,3.4761578827589545,0.0005941933647755678,True,True,0.0005174695810394848,0.001869478470915376,,0.2841754846429807,0.5407407662476286,0.872575896030054,3.4761578827589545,0.39334912065010863,0.11924228063353026,40.4251592782858
Residual_LSTM,0.1,368,57.33695652173913,2022-11-09,2025-10-05,10000.0,13033.99873731465,3033.9987373146505,30.339987373146503,19.89558476423492,233,130,103,55.793991416309005,13.021453808217434,45.31868511783604,27.742042019456544,13.021453808217428,2.0617927259958684,-363.07251510340757,3.145938335574801,3.622173693119717,7.0881579438686995,6.324213205088063,8.356453906874581,10,4,368,1.4603174603174602,True,3.482947772754268,0.0005926053909279765,True,True,0.0004996678113889563,0.0018012645295067597,,0.19594759324561264,0.6146571039380109,0.5008037677949915,3.482947772754268,0.39528655794570666,0.34055992664174917,39.267023132308935
GRU,0.1,368,57.88043478260869,2022-11-09,2025-10-05,10000.0,13040.391792681221,3040.391792681221,30.403917926812206,19.935852122237428,248,146,102,58.87096774193549,12.259644325327509,39.41804804824188,26.614149238844043,12.25964432532751,2.1199968259680495,-339.86589907556663,3.1949275923044183,3.3380707307612827,5.043169563458679,6.239844737094094,8.945857177642917,9,6,368,1.4603174603174602,True,3.311472133718999,0.0010668589500651248,True,True,0.0004393238576360258,0.0017290268710029458,,0.19682478678637114,0.5266922690573639,0.7093908338491876,3.311472133718999,0.34635744442799915,0.31377682882111635,37.799759989393834
SVM,0.1,518,62.54826254826254,2022-10-10,2025-10-05,10000.0,12555.826783433604,2555.826783433604,25.55826783433604,11.708677505267474,293,171,122,58.36177474402731,8.722958305234158,31.400799668356314,23.063196392256742,8.722958305234155,1.9083476335155114,-313.49681851723653,2.7446217037294067,2.919784467065428,3.89867683583551,4.266044201777484,8.15264025811184,8,4,518,2.0555555555555554,True,3.1483596200572355,0.0018118463591963389,True,True,0.00029471729809258567,0.0012776365375806857,,0.13033743890381602,0.3971811868306766,0.6748728323278783,3.1483596200572355,0.2998146775252699,0.5599652274219891,34.984153122995416
LightGBM,0.1,518,61.38996138996139,2022-10-10,2025-10-05,10000.0,12294.110883740204,2294.1108837402044,22.941108837402044,10.56977849932721,350,199,151,56.85714285714286,6.554602524972009,29.94787081951523,24.274936485717408,6.55460252497201,1.625863112699665,-255.1633022901533,2.1763733415160202,2.554517412700316,3.7366954910896757,4.856601713364355,8.990755579466153,7,5,518,2.0555555555555554,True,3.0105276419658464,0.0027978663793240626,True,True,0.00020702145408062742,0.0009872260934489984,,0.09442730148731303,0.2840860756152214,0.5728744034927408,3.0105276419658464,0.2604854961888082,0.8706343922059148,33.932940776792215
VotingHard,0.1,518,61.38996138996139,2022-10-10,2025-10-05,10000.0,12876.173717988351,2876.173717988351,28.76173717988351,13.086251303499497,518,289,229,55.79150579150579,5.5524589150354675,25.130995597465844,19.155825369778412,5.5524589150354675,1.6556601094681243,-252.43259913688962,2.1006592121371694,2.1526045457519962,2.972602679425771,6.229592704942275,11.39382840339355,7,6,518,2.0555555555555554,True,3.0862340789788694,0.0021357434179691123,True,True,0.00017981689788728114,0.0008097015014185479,,0.1742923627517483,0.1596445749563431,0.5006352682258866,3.0862340789788694,0.2820876833652005,0.912028344042131,33.54841676665586
Hybrid_LSTM_GRU,0.1,368,58.69565217391305,2022-11-09,2025-10-05,10000.0,12267.15882248763,2267.1588224876305,22.671588224876306,15.019199227706048,260,145,115,55.769230769230774,8.719841624952402,39.21447441660738,29.72991276452561,8.719841624952403,1.6631174702569036,-389.6813629505068,3.1458986817889576,2.4601694199101938,3.285711823579994,4.774215811414873,5.81798114572798,9,5,368,1.4603174603174602,True,2.4989146290066024,0.01307741905579214,True,False,0.00016948087272606758,0.0014294581497598683,,0.09072919898619723,0.25487375928381734,0.4991252528565965,2.4989146290066024,0.11450107922407235,0.34058160590973763,21.483718153374827
BiLSTM,0.1,368,58.69565217391305,2022-11-09,2025-10-05,10000.0,11730.881610619372,1730.8816106193717,17.308816106193717,11.55175946600604,281,153,128,54.44839857651246,6.159721034232688,29.00049918404414,21.142146597963812,6.159721034232691,1.6395997927791446,-309.38960941030564,2.630429781390681,2.068279299860863,2.7107861695584874,4.391586328489158,5.594504656825482,7,6,368,1.4603174603174602,True,2.184047477432756,0.029788423480115622,True,False,5.70562936973827e-05,0.001099048701911751,,0.017146400256395994,0.13353553241237576,0.409586536053844,2.184047477432756,0.02465641855372937,0.6223955158259196,17.77770678700309
DTW_LSTM,0.1,368,58.96739130434783,2022-11-09,2025-10-05,10000.0,11682.30054262689,1682.30054262689,16.8230054262689,11.23520427336777,257,144,113,56.03112840466926,6.545916508275867,32.180179630026686,26.12075508050394,6.545916508275868,1.569953486244692,-338.4642812218208,3.2299815974990977,2.077132008943427,2.579382504654058,3.4784112336946245,4.970393143270423,8,5,368,1.4603174603174602,True,2.097637264292645,0.03691789202420824,True,False,3.7711326444914346e-05,0.0011948004217086678,,0.010480573573744155,0.13627653548474677,0.516879194909278,2.097637264292645,0.0,0.29461232393148673,13.309307402396076
DecisionTree,0.1,518,53.28185328185329,2022-10-10,2025-10-05,10000.0,11605.917299913517,1605.9172999135171,16.05917299913517,7.514165626166447,502,243,259,48.40637450199203,3.1990384460428816,19.425008906089307,12.024555460487163,3.1990384460428816,1.5156492409048956,-388.21381947917143,3.239616901226011,1.636995135115465,2.5740321582865193,2.319461175586151,4.136682465523817,8,12,518,2.0555555555555554,True,2.3104627811883227,0.021267880187355353,True,False,4.503611715331524e-05,0.0005568642874832896,,0.0,0.0,0.0,2.3104627811883227,0.06072794907917851,0.28934457137762093,5.554727552247884
