model,strategy_type,confidence_threshold,total_predictions,base_accuracy,date_start,date_end,initial_capital,final_capital,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,expectancy,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,num_days,years,sufficient_trades,t_statistic,p_value,is_significant,is_very_significant,confidence_95_lower,confidence_95_upper,stat_warning
AdaBoost,fixed_50,0.05,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,76351.5674784176,66351.5674784176,663.515674784176,168.8307887847446,433,254,179,58.66050808314087,153.23687639357416,496.50877574994144,333.8640310730029,153.2368763935741,2.1102697907672114,-4203.133623166817,7.318465886168866,4.155263223791888,7.705761506009471,23.06915020316172,15.786214150485545,7,4,518,2.0555555555555554,True,5.446809898866337,8.625070768303321e-08,True,True,0.003116566981033137,0.006635626632441033,
AdaBoost,fixed_50,0.1,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,78700.61145811038,68700.61145811038,687.0061145811038,172.82316387492597,362,217,145,59.94475138121547,189.78069463566402,548.3691252006062,346.86543938221496,189.78069463566396,2.3659398331659056,-3520.370941846144,5.915367347666672,4.910743457045443,9.700423137681398,29.2159647436091,19.51516263285669,8,4,518,2.0555555555555554,True,5.885742549656559,9.05791690326207e-09,True,True,0.00392415657476085,0.007862259523469818,
AdaBoost,fixed_50,0.15,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,53648.26857622123,43648.26857622123,436.48268576221227,126.42219392393224,300,179,121,59.66666666666667,145.49422858740405,397.4761091487415,227.2723550529216,145.49422858740405,2.587212365892309,-2652.923620858608,6.967734643196977,4.864346162118148,9.543504940627384,18.143944968881087,16.45289303960234,7,4,518,2.0555555555555554,True,5.307436784374845,2.1702529948386556e-07,True,True,0.0036431657584327184,0.007936909558213984,
AdaBoost,fixed_50,0.2,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,43117.49652546245,33117.49652546245,331.1749652546245,103.58715309922309,232,139,93,59.91379310344828,142.7478298511312,378.53225899385257,209.66115564175345,142.7478298511312,2.6984648972625362,-2258.881551205297,6.531521413935616,5.297506351605783,10.540585267229366,15.859574903667948,14.661015097401442,9,4,518,2.0555555555555554,True,5.082942632335413,7.672331640068972e-07,True,True,0.003982920974574649,0.009025236045121048,
AdaBoost,fixed_01,0.0,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,10393.986514623435,393.98651462343514,3.939865146234352,1.8976782602730946,518,300,218,57.91505791505791,0.7605917270722528,2.885549008686195,2.163661412763448,0.7605917270722523,1.835286694745574,-19.536610196777474,0.19484414986642226,3.220438430091132,4.975444131583859,9.739467474769299,20.166574992033286,7,5,518,2.0555555555555554,True,4.61720981302134,4.913579061020731e-06,True,True,4.289857044821273e-05,0.00010644035139402942,
AdaBoost,fixed_01,0.05,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,10430.978318253834,430.978318253834,4.30978318253834,2.0739416448029013,433,254,179,58.66050808314087,0.995330989038854,3.1821721202265216,2.1077843591268866,0.9953309890388536,2.142289576042787,-15.367111089646642,0.14817870675666,4.155263223791995,7.705761506009656,13.996219093805031,28.04550027260486,7,4,518,2.0555555555555554,True,5.446809898866478,8.625070768296882e-08,True,True,6.233133962066514e-05,0.0001327125326488229,
AdaBoost,fixed_01,0.1,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,10435.601849585937,435.6018495859371,4.35601849585937,2.095949869495195,362,217,145,59.94475138121547,1.2033200264804953,3.388696438258162,2.067208810455737,1.203320026480495,2.4532400750252634,-12.375514051607752,0.11928057429458608,4.910743457045379,9.700423137681412,17.57159438483963,35.19868732477794,8,4,518,2.0555555555555554,True,5.885742549656483,9.057916903265912e-09,True,True,7.848313149521608e-05,0.00015724519046939598,
AdaBoost,fixed_01,0.15,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,10353.265397078438,353.2653970784377,3.5326539707843767,1.703272058380656,300,179,121,59.66666666666667,1.1775513235947925,3.311284646296589,1.9789632612285255,1.177551323594793,2.4752920346651623,-14.59059278825589,0.14192493854193378,4.864346162118151,9.54350494062732,12.001217515957562,24.211860491561687,7,4,518,2.0555555555555554,True,5.307436784374849,2.1702529948386127e-07,True,True,7.286331516865434e-05,0.00015873819116427957,
AdaBoost,fixed_01,0.2,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,10306.188238090812,306.18823809081186,3.0618823809081186,1.4780315434512747,232,139,93,59.91379310344828,1.319776888322462,3.4400532735135156,1.8492383540598656,1.319776888322462,2.7803798190263853,-13.660622155952296,0.13315188978520862,5.297506351605821,10.540585267229568,11.100342216963895,22.413930683047074,9,4,518,2.0555555555555554,True,5.082942632335451,7.672331640067669e-07,True,True,7.96584194914936e-05,0.0001805047209024211,
AdaBoost,volatility_scaled,0.0,518,62.93436293436293,2022-10-10,2025-10-05,10000.0,0.0,-10000.0,-100.0,0.0,1,0,0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,518,2.0555555555555554,False,,,False,False,,,Insufficient trades: 1 < 30
