fold,strategy,model,position_strategy,trading_method,confidence_threshold,total_return_pct,alpha_pct,final_capital,num_trades,win_rate,max_drawdown,risk_reward_ratio,expectancy,sharpe_ratio,max_consecutive_losses,trading_suspended
1,Improved Spot Swing Trading,SVM,anti_martingale,spot_swing_improved,0.0,0.19978592448015586,-55.44706404536113,1001997.8592448015,7,0.5714285714285714,0.0008851150489609525,1.5750599194569879,285.4084635430479,1.3613907382865227,1.0,False
1,Improved Spot Day Trading,SVM,anti_martingale,spot_day_improved,0.2,0.4996417822443533,-55.14720818759693,1004996.4178224435,1,1.0,0.001608401700937391,0.0,4834.046427886755,2.206148395594093,0.0,False
1,Improved Spot Swing Trading,SVM,anti_martingale,spot_swing_improved,0.2,0.19978592448015586,-55.44706404536113,1001997.8592448015,7,0.5714285714285714,0.0008851150489609525,1.5750599194569879,285.4084635430479,1.3613907382865227,1.0,False
1,Improved Spot Day Trading,SVM,anti_martingale,spot_day_improved,0.3,0.3292388641397137,-55.31761110570157,1003292.3886413972,1,1.0,0.0014052223991672655,0.0,3130.292556870938,1.7269375648707215,0.0,False
1,Improved Spot Swing Trading,SVM,anti_martingale,spot_swing_improved,0.3,0.19978592448015586,-55.44706404536113,1001997.8592448015,7,0.5714285714285714,0.0008851150489609525,1.5750599194569879,285.4084635430479,1.3613907382865227,1.0,False
1,Improved Spot Day Trading,SVM,fixed_risk,spot_day_improved,0.0,0.14249207675556264,-55.504357893085725,1001424.9207675556,9,0.2222222222222222,0.00120788388370796,7.433060939232685,141.65095088748302,0.9993826706393923,3.0,False
1,Improved Spot Swing Trading,SVM,fixed_risk,spot_swing_improved,0.0,0.19978592448015586,-55.44706404536113,1001997.8592448015,7,0.5714285714285714,0.0008851150489609525,1.5750599194569879,285.4084635430479,1.3613907382865227,1.0,False
1,Improved Spot Day Trading,SVM,fixed_risk,spot_day_improved,0.2,0.4996417822443533,-55.14720818759693,1004996.4178224435,1,1.0,0.001608401700937391,0.0,4834.046427886755,2.206148395594093,0.0,False
1,Improved Spot Swing Trading,SVM,fixed_risk,spot_swing_improved,0.2,0.19978592448015586,-55.44706404536113,1001997.8592448015,7,0.5714285714285714,0.0008851150489609525,1.5750599194569879,285.4084635430479,1.3613907382865227,1.0,False
1,Improved Spot Day Trading,SVM,fixed_risk,spot_day_improved,0.3,0.3292388641397137,-55.31761110570157,1003292.3886413972,1,1.0,0.0014052223991672655,0.0,3130.292556870938,1.7269375648707215,0.0,False
