date,fundingRate
2025-09-30,2.6999999999999996e-07
2025-10-01,8.433333333333338e-07
2025-10-02,2.751e-05
2025-10-03,4.946e-05
2025-10-04,3.6983333333333336e-05
2025-10-05,8.489666666666668e-05
2025-10-06,9.298e-05
2025-10-07,0.0001
2025-10-08,2.851e-05
2025-10-09,3.0463333333333334e-05
2025-10-10,-2.3666666666666609e-07
2025-10-11,-1.0889999999999994e-05
2025-10-12,-3.563e-05
2025-10-13,2.622e-05
2025-10-14,2.8823333333333336e-05
2025-10-15,2.7260000000000003e-05
2025-10-16,2.9466666666666667e-06
2025-10-17,3.982333333333333e-05
2025-10-18,3.0063333333333334e-05
2025-10-19,3.951333333333333e-05
2025-10-20,4.631e-05
2025-10-21,3.7670000000000004e-05
2025-10-22,6.976666666666667e-06
2025-10-23,3.295666666666667e-05
2025-10-24,4.46e-05
2025-10-25,3.080333333333333e-05
2025-10-26,7.359666666666667e-05
2025-10-27,9.275666666666667e-05
2025-10-28,3.449e-05
2025-10-29,-7.5066666666666645e-06
2025-10-30,-4.008666666666667e-05
2025-10-31,3.2376666666666664e-05
2025-11-01,7.926666666666666e-05
2025-11-02,6.405e-05
2025-11-03,3.944666666666667e-05
2025-11-04,7.249666666666666e-05
2025-11-05,2.0556666666666666e-05
2025-11-06,3.3253333333333336e-05
2025-11-07,6.88e-05
2025-11-08,7.541e-05
2025-11-09,4.1633333333333333e-05
2025-11-10,6.863666666666667e-05
2025-11-11,1.0773333333333334e-05
2025-11-12,2.2393333333333335e-05
2025-11-13,6.429333333333334e-05
2025-11-14,3.7176666666666666e-05
2025-11-15,4.685e-05
2025-11-16,9.259666666666666e-05
2025-11-17,8.664000000000001e-05
2025-11-18,8.327999999999999e-05
2025-11-19,6.643666666666667e-05
2025-11-20,7.241e-05
2025-11-21,2.641e-05
