date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,ETH_Open,ETH_High,ETH_Low,ETH_Close,ETH_Volume,XRP_Open,XRP_High,XRP_Low,XRP_Close,XRP_Volume,SOL_Open,SOL_High,SOL_Low,SOL_Close,SOL_Volume,ADA_Open,ADA_High,ADA_Low,ADA_Close,ADA_Volume,DOGE_Open,DOGE_High,DOGE_Low,DOGE_Close,DOGE_Volume,AVAX_Open,AVAX_High,AVAX_Low,AVAX_Close,AVAX_Volume,DOT_Open,DOT_High,DOT_Low,DOT_Close,DOT_Volume
2025-09-19,162478000.0,163080000.0,161500000.0,162138000.0,1389.24628029,6365000.0,6411000.0,6221000.0,6272000.0,37913.99193469,4269.0,4295.0,4184.0,4197.0,82315872.23193425,343800.0,344900.0,330000.0,334600.0,531477.62901555,1283.0,1300.0,1245.0,1250.0,42471778.29436076,387.0,395.0,369.0,373.0,544992790.8116252,48850.0,49750.0,46780.0,47350.0,991366.52261524,6290.0,6790.0,6065.0,6115.0,6951094.62469697
2025-09-20,162162000.0,162486000.0,162000000.0,162236000.0,694.36542049,6272000.0,6306000.0,6252000.0,6287000.0,16379.72197412,4197.0,4217.0,4151.0,4176.0,51121889.53133137,334800.0,337300.0,332200.0,335900.0,218621.59111709,1249.0,1269.0,1246.0,1254.0,22980170.72179814,373.0,377.0,370.0,376.0,245753100.72554186,47340.0,47910.0,46080.0,46510.0,370597.48628025,6115.0,6240.0,6025.0,6115.0,1718198.7043211
2025-09-21,162236000.0,162239000.0,161372000.0,161412000.0,956.39786821,6286000.0,6293000.0,6230000.0,6231000.0,16291.22173221,4175.0,4214.0,4145.0,4162.0,61889936.46808721,335900.0,338100.0,330000.0,330800.0,255692.64952641,1253.0,1261.0,1229.0,1241.0,25968598.14053912,376.0,378.0,365.0,365.0,293444168.33882433,46550.0,47160.0,45570.0,46290.0,335619.76104432,6115.0,6130.0,5935.0,5970.0,1897352.95199064
2025-09-22,161410000.0,161631000.0,159000000.0,160730000.0,3058.73284497,6231000.0,6245000.0,5897000.0,5994000.0,117483.51164217,4162.0,4169.0,3953.0,4073.0,210182839.60646245,330800.0,331900.0,309100.0,314600.0,872572.08649664,1240.0,1244.0,1151.0,1178.0,69026534.79836532,365.0,368.0,334.0,344.0,938924044.2319915,46290.0,48530.0,42420.0,48390.0,1050703.4294384,5970.0,5995.0,5550.0,5755.0,3009684.84036195
2025-09-23,160731000.0,161350000.0,158668000.0,159679000.0,1105.98353873,5994000.0,6019000.0,5854000.0,5932000.0,40871.39605637,4072.0,4111.0,3983.0,4025.0,84179395.742859,314600.0,316600.0,302000.0,304400.0,593581.64718781,1178.0,1185.0,1142.0,1149.0,29344029.76270229,345.0,348.0,333.0,339.0,394078251.6054373,48390.0,51450.0,46590.0,47850.0,1785179.00804645,5755.0,5805.0,5605.0,5650.0,1858660.77726602
2025-09-24,159680000.0,161200000.0,159001000.0,160700000.0,989.63619655,5933000.0,5977000.0,5831000.0,5889000.0,35715.9768436,4024.0,4230.0,3992.0,4149.0,96722253.95936763,304400.0,308600.0,293100.0,300300.0,693179.62751681,1148.0,1177.0,1130.0,1154.0,24155305.32804634,339.0,355.0,331.0,342.0,399140469.74263453,47920.0,49650.0,45750.0,45850.0,787731.34418686,5650.0,5830.0,5565.0,5670.0,1465265.54289568
2025-09-25,160700000.0,161037000.0,158000000.0,158200000.0,2072.65761536,5890000.0,5903000.0,5565000.0,5619000.0,95599.57021992,4150.0,4181.0,3978.0,3987.0,141340496.9914189,300300.0,301500.0,278800.0,280100.0,1021043.80772302,1154.0,1156.0,1101.0,1108.0,35648137.40517613,343.0,344.0,321.0,324.0,507568474.5537065,45850.0,46640.0,41460.0,41610.0,920360.41281515,5665.0,5730.0,5480.0,5525.0,1668912.85444636
2025-09-26,158219000.0,159307000.0,157100000.0,158128000.0,1636.24151791,5619000.0,5840000.0,5618000.0,5817000.0,61358.28520663,3986.0,4030.0,3924.0,4015.0,104237800.52211206,280000.0,296200.0,277800.0,295500.0,1010552.73685843,1108.0,1142.0,1102.0,1142.0,32297853.26336095,324.0,336.0,322.0,335.0,355635319.0323245,41590.0,42530.0,39450.0,42020.0,860347.37787628,5525.0,5715.0,5480.0,5665.0,1203802.89003291
2025-09-27,158129000.0,158250000.0,157126000.0,157895000.0,599.24007712,5817000.0,5818000.0,5716000.0,5781000.0,14940.42185502,4016.0,4070.0,3980.0,4034.0,42445199.89785138,295600.0,296500.0,287700.0,293000.0,295535.36255354,1142.0,1143.0,1117.0,1125.0,10258246.83564892,335.0,337.0,328.0,333.0,138250527.37837273,41960.0,41970.0,40600.0,41420.0,256947.79040223,5660.0,5665.0,5540.0,5605.0,477186.94160334
2025-09-28,157892000.0,160800000.0,157559000.0,160579000.0,1115.14654906,5782000.0,5932000.0,5727000.0,5931000.0,23795.46652588,4034.0,4106.0,3995.0,4104.0,50939841.49990787,293000.0,302000.0,285800.0,301900.0,365417.28531406,1125.0,1161.0,1104.0,1159.0,11229937.70622942,333.0,340.0,325.0,340.0,184781486.20925182,41420.0,43260.0,40270.0,42990.0,377821.04033368,5595.0,5760.0,5480.0,5725.0,642262.00562778
