Model,FPR,TPR,Threshold,AUC
ExtraTrees,0.078125,0.18518518518518517,0.5573880565368516,0.5987847222222221
ExtraTrees,0.09375,0.18518518518518517,0.5566424119948614,0.5987847222222221
ExtraTrees,0.09375,0.1925925925925926,0.55624925059455,0.5987847222222221
ExtraTrees,0.1015625,0.1925925925925926,0.5555916847240969,0.5987847222222221
ExtraTrees,0.1015625,0.2074074074074074,0.5545679089163122,0.5987847222222221
ExtraTrees,0.109375,0.2074074074074074,0.5544720028713603,0.5987847222222221
ExtraTrees,0.109375,0.2222222222222222,0.5533597545493396,0.5987847222222221
ExtraTrees,0.1171875,0.2222222222222222,0.5529498140178666,0.5987847222222221
ExtraTrees,0.1171875,0.23703703703703705,0.5519364157993796,0.5987847222222221
ExtraTrees,0.125,0.23703703703703705,0.551379377941864,0.5987847222222221
ExtraTrees,0.125,0.25925925925925924,0.5505275601131816,0.5987847222222221
ExtraTrees,0.1328125,0.25925925925925924,0.5494989125655403,0.5987847222222221
ExtraTrees,0.1328125,0.2814814814814815,0.5484202085653427,0.5987847222222221
ExtraTrees,0.1484375,0.2814814814814815,0.5481977528146791,0.5987847222222221
ExtraTrees,0.1484375,0.28888888888888886,0.5480327467191608,0.5987847222222221
ExtraTrees,0.1953125,0.28888888888888886,0.5425792549239169,0.5987847222222221
ExtraTrees,0.1953125,0.3111111111111111,0.5407497959582559,0.5987847222222221
ExtraTrees,0.203125,0.3111111111111111,0.5407456366452571,0.5987847222222221
ExtraTrees,0.203125,0.32592592592592595,0.5396280182355819,0.5987847222222221
ExtraTrees,0.21875,0.32592592592592595,0.5389862847781618,0.5987847222222221
ExtraTrees,0.21875,0.34074074074074073,0.5354760331640731,0.5987847222222221
ExtraTrees,0.2421875,0.34074074074074073,0.5320428286750132,0.5987847222222221
ExtraTrees,0.2421875,0.34814814814814815,0.5320403444852463,0.5987847222222221
ExtraTrees,0.2578125,0.34814814814814815,0.5306342924534951,0.5987847222222221
ExtraTrees,0.2578125,0.35555555555555557,0.5293001617783258,0.5987847222222221
ExtraTrees,0.265625,0.35555555555555557,0.5290884203700013,0.5987847222222221
ExtraTrees,0.265625,0.37777777777777777,0.5238396033534972,0.5987847222222221
ExtraTrees,0.28125,0.37777777777777777,0.5208923109460615,0.5987847222222221
ExtraTrees,0.28125,0.3925925925925926,0.5186624134851835,0.5987847222222221
ExtraTrees,0.2890625,0.3925925925925926,0.5183073407196798,0.5987847222222221
ExtraTrees,0.2890625,0.4,0.5170213149184263,0.5987847222222221
ExtraTrees,0.3125,0.4,0.5157881892551823,0.5987847222222221
ExtraTrees,0.3125,0.4148148148148148,0.515411744897717,0.5987847222222221
ExtraTrees,0.3359375,0.4148148148148148,0.5094821405075795,0.5987847222222221
ExtraTrees,0.3359375,0.42962962962962964,0.509149341500813,0.5987847222222221
ExtraTrees,0.34375,0.42962962962962964,0.5086605470548625,0.5987847222222221
ExtraTrees,0.34375,0.45185185185185184,0.5071898453599791,0.5987847222222221
ExtraTrees,0.3671875,0.45185185185185184,0.5058855978164836,0.5987847222222221
ExtraTrees,0.3671875,0.4740740740740741,0.5039280229719584,0.5987847222222221
ExtraTrees,0.390625,0.4740740740740741,0.5021647848876278,0.5987847222222221
ExtraTrees,0.390625,0.4888888888888889,0.5015826813018988,0.5987847222222221
ExtraTrees,0.4140625,0.4888888888888889,0.5002368740749389,0.5987847222222221
ExtraTrees,0.4140625,0.5333333333333333,0.49468670106152357,0.5987847222222221
ExtraTrees,0.421875,0.5333333333333333,0.49329581778464965,0.5987847222222221
ExtraTrees,0.421875,0.5481481481481482,0.48831628181472575,0.5987847222222221
ExtraTrees,0.4453125,0.5481481481481482,0.4864942408827253,0.5987847222222221
ExtraTrees,0.4453125,0.562962962962963,0.48587292478670124,0.5987847222222221
ExtraTrees,0.453125,0.562962962962963,0.48509192998455236,0.5987847222222221
ExtraTrees,0.453125,0.5703703703703704,0.48500053325698167,0.5987847222222221
ExtraTrees,0.4609375,0.5703703703703704,0.48366947251913817,0.5987847222222221
ExtraTrees,0.4609375,0.6,0.48079285865951193,0.5987847222222221
ExtraTrees,0.5,0.6,0.4774898579826228,0.5987847222222221
ExtraTrees,0.5,0.6444444444444445,0.4745729009386623,0.5987847222222221
ExtraTrees,0.5078125,0.6444444444444445,0.4737738320100479,0.5987847222222221
ExtraTrees,0.5078125,0.6666666666666666,0.47124246251046564,0.5987847222222221
ExtraTrees,0.5234375,0.6666666666666666,0.4690533594754415,0.5987847222222221
ExtraTrees,0.5234375,0.674074074074074,0.4686846053062823,0.5987847222222221
ExtraTrees,0.53125,0.674074074074074,0.4682647605867655,0.5987847222222221
ExtraTrees,0.53125,0.6888888888888889,0.46629636295624777,0.5987847222222221
ExtraTrees,0.5390625,0.6888888888888889,0.4650474258943254,0.5987847222222221
ExtraTrees,0.5390625,0.6962962962962963,0.46249876496665954,0.5987847222222221
ExtraTrees,0.546875,0.6962962962962963,0.4612475458831937,0.5987847222222221
