model,confidence_threshold,total_predictions,base_accuracy,date_start,date_end,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,final_capital,num_days,years
DTW_LSTM,0.1,368,58.96739130434783,2022-11-09,2025-10-05,1682.30054262689,16.8230054262689,11.23520427336777,257,144,113,56.03112840466926,6.545916508275867,32.180179630026686,26.12075508050394,1.569953486244692,-338.4642812218208,3.2299815974990977,2.077132008943427,2.579382504654058,3.4784112336946245,4.970393143270423,8,5,11682.30054262689,368,1.4603174603174602
DTW_LSTM,0.15,368,58.96739130434783,2022-11-09,2025-10-05,5182.573698664786,51.82573698664786,33.10126243350764,211,124,87,58.767772511848335,24.56196065717907,71.54160441765428,42.397531599130446,2.4050302076914445,-463.5942336872358,3.1655366368552476,4.719291576923062,9.330413438523458,10.456761753479995,11.179115964072178,8,4,15182.573698664786,368,1.4603174603174602
DTW_LSTM,0.2,368,58.96739130434783,2022-11-09,2025-10-05,4643.112307233585,46.43112307233585,29.84429333905487,170,101,69,59.411764705882355,27.312425336668213,75.40579251592291,43.08511212861765,2.561826797912278,-393.6518627169389,2.9604411995684647,5.00882597407479,11.177394337448012,10.081028916705115,11.79497100607468,8,4,14643.112307233585,368,1.4603174603174602
DecisionTree,0.0,518,53.28185328185329,2022-10-10,2025-10-05,1444.8495116132908,14.448495116132909,6.785679388888788,518,249,269,48.06949806949807,2.7892847714541817,17.67498529177769,10.989672215759775,1.488748678765089,-332.2456673726083,2.823672215367591,1.5265632329733485,2.3814221396411193,2.403139908364121,4.3487384592224485,8,12,11444.84951161329,518,2.0555555555555554
DecisionTree,0.05,518,53.28185328185329,2022-10-10,2025-10-05,1605.9172999135171,16.05917299913517,7.514165626166447,502,243,259,48.40637450199203,3.1990384460428816,19.425008906089307,12.024555460487163,1.5156492409048956,-388.21381947917143,3.239616901226011,1.636995135115465,2.5740321582865193,2.319461175586151,4.136682465523817,8,12,11605.917299913517,518,2.0555555555555554
DecisionTree,0.1,518,53.28185328185329,2022-10-10,2025-10-05,1605.9172999135171,16.05917299913517,7.514165626166447,502,243,259,48.40637450199203,3.1990384460428816,19.425008906089307,12.024555460487163,1.5156492409048956,-388.21381947917143,3.239616901226011,1.636995135115465,2.5740321582865193,2.319461175586151,4.136682465523817,8,12,11605.917299913517,518,2.0555555555555554
DecisionTree,0.15,518,53.28185328185329,2022-10-10,2025-10-05,1523.143588256833,15.23143588256833,7.140445188847444,487,235,252,48.25462012320328,3.127604904018138,19.122385331320874,11.788162557950685,1.5127364471441023,-357.86645648622834,3.0148103401793467,1.6060162824907736,2.5400158821989174,2.368455850666437,4.25617869641115,8,12,11523.143588256833,518,2.0555555555555554
DecisionTree,0.2,518,53.28185328185329,2022-10-10,2025-10-05,1404.3130462515292,14.043130462515292,6.60151101068327,472,226,246,47.88135593220339,2.9752395047701636,19.569820648404725,12.270188700357519,1.4652405727666014,-316.51505210031974,2.702898262009842,1.4731175206131935,2.0990679644350845,2.442382350630714,4.43679703992855,9,12,11404.31304625153,518,2.0555555555555554
EMD_LSTM,0.0,368,54.347826086956516,2022-11-09,2025-10-05,4.110572801089802,0.04110572801089802,0.028146664354600226,368,179,189,48.641304347826086,0.011170034785552969,9.447841891018426,8.92620701423923,1.002436540224185,-311.08619973304303,3.0274832928401376,0.02690117487316845,0.02709867874999039,0.009297050266525277,0.013213613476320288,8,6,10004.11057280109,368,1.4603174603174602
EMD_LSTM,0.05,368,54.347826086956516,2022-11-09,2025-10-05,396.39799694625617,3.963979969462562,2.697793844524776,315,157,158,49.84126984126984,1.258406339511925,15.842754322652416,13.233635643735273,1.1895811664669795,-324.0571132870591,3.149963355826187,0.5812247786137111,0.6695535598791601,0.8564524534975698,1.223234981406242,8,6,10396.397996946256,368,1.4603174603174602
EMD_LSTM,0.1,368,54.347826086956516,2022-11-09,2025-10-05,357.7218086310404,3.577218086310404,2.436017989925232,265,132,133,49.81132075471698,1.3498936174756475,16.958966279223652,14.141817595687787,1.1901903797500677,-282.56367271605814,2.660448169987145,0.7743164921702543,0.9980156333180009,0.9156419649163857,1.2659865480673695,8,6,10357.72180863104,368,1.4603174603174602
EMD_LSTM,0.15,368,54.347826086956516,2022-11-09,2025-10-05,-10.252210326128989,-0.1025221032612899,-0.07021670246621925,228,118,110,51.75438596491229,-0.0449658347636922,8.367707399062839,9.069469849232151,0.9897235545621731,-191.12302347067998,1.8802635339401033,-0.02664838200629752,-0.0300274739106821,-0.03734407501861175,-0.05364194297450391,8,6,9989.747789673871,368,1.4603174603174602
EMD_LSTM,0.2,368,54.347826086956516,2022-11-09,2025-10-05,1603.3629228165191,16.033629228165193,10.71995870170257,198,107,91,54.04040404040404,8.097792539477325,35.48827444509441,24.108598272621887,1.7308335631529543,-322.7629907992614,2.8621906965499067,2.482990560522375,4.147060691234612,3.745368439155518,4.967617008524102,8,4,11603.36292281652,368,1.4603174603174602
ExtraTrees,0.0,518,60.231660231660236,2022-10-10,2025-10-05,864.6101512887562,8.646101512887562,4.116700341543633,518,285,233,55.01930501930502,1.6691315661945028,15.469206773740543,15.210788752048506,1.243956657474258,-351.87588632607003,3.2216924275651753,0.8630758957807706,1.0017164400786602,1.277806753469284,2.45714521763948,8,5,10864.610151288756,518,2.0555555555555554
ExtraTrees,0.05,518,60.231660231660236,2022-10-10,2025-10-05,2777.9152699309816,27.77915269930982,12.66560503972749,386,219,167,56.73575129533679,7.196671683759023,32.005877243777945,25.337555966804707,1.6565046445297362,-439.4626074428561,3.6257338319668433,2.264271797547678,2.885492080903342,3.493252849411952,6.321164128377402,8,5,12777.915269930982,518,2.0555555555555554
ExtraTrees,0.1,518,60.231660231660236,2022-10-10,2025-10-05,3677.0105338805442,36.77010533880544,16.45492822118666,266,163,103,61.278195488721806,13.823347871731421,47.38683334498386,39.29168253739623,1.908567134098206,-453.750059288157,3.5507528589619626,3.383443630896362,4.41492646153589,4.634208258019157,8.103603423543433,8,5,13677.010533880544,518,2.0555555555555554
ExtraTrees,0.15,518,60.231660231660236,2022-10-10,2025-10-05,5430.875951254575,54.30875951254575,23.49502754754653,167,106,61,63.47305389221557,32.52021527697351,82.36905528762357,54.102359167762664,2.645598355945724,-306.45083956298004,2.3408578028942277,4.993711510909916,7.555511225060332,10.036930700573683,17.721850457317647,9,4,15430.875951254575,518,2.0555555555555554
ExtraTrees,0.2,518,60.231660231660236,2022-10-10,2025-10-05,3348.1804994135327,33.48180499413533,15.084316443123491,96,62,34,64.58333333333334,34.87688020222426,80.82347645078247,48.90808942749956,3.0134889380120478,-396.7704005202377,3.2091686526143604,5.43375221899639,9.726499763062545,4.7003813373395005,8.438584367743822,7,5,13348.180499413533,518,2.0555555555555554
GRU,0.0,368,57.88043478260869,2022-11-09,2025-10-05,1985.1130726544798,19.851130726544795,13.201652547452781,368,195,173,52.9891304347826,5.394329001778495,26.172977680706133,18.026691185452087,1.636536229550851,-281.89788129960834,2.658409179775081,1.9662014066584454,2.7003413862015098,4.965997201593221,7.0419581144160865,10,6,11985.11307265448,368,1.4603174603174602
GRU,0.05,368,57.88043478260869,2022-11-09,2025-10-05,3482.275026561316,34.82275026561316,22.704240138787448,298,164,134,55.033557046979865,11.685486666313146,41.62380275027025,24.95543749614182,2.041341273536403,-318.37165086531786,3.0368919663847054,3.064880762906001,4.75891440817272,7.476143501349476,10.937767282660596,10,8,13482.275026561316,368,1.4603174603174602
GRU,0.1,368,57.88043478260869,2022-11-09,2025-10-05,3040.391792681221,30.403917926812206,19.935852122237428,248,146,102,58.87096774193549,12.259644325327509,39.41804804824188,26.614149238844043,2.1199968259680495,-339.86589907556663,3.1949275923044183,3.3380707307612827,5.043169563458679,6.239844737094094,8.945857177642917,9,6,13040.391792681221,368,1.4603174603174602
GRU,0.15,368,57.88043478260869,2022-11-09,2025-10-05,3055.0147589371663,30.55014758937166,20.027933086954274,213,127,86,59.624413145539904,14.342792295479606,42.46593305277918,27.18789231123022,2.3065899711110935,-355.76492712028994,3.3628982830041148,3.5844327498050146,5.0581414466860615,5.955557201409939,8.587172388424381,9,6,13055.014758937166,368,1.4603174603174602
GRU,0.2,368,57.88043478260869,2022-11-09,2025-10-05,5359.447293040135,53.59447293040135,34.16114661253597,180,108,72,60.0,29.774707183556288,72.72313569221384,34.647935579430026,3.1483752701007313,-306.9682298623993,2.5914689548662486,5.734841626861296,11.418370384449922,13.18215545217639,17.45928982762335,8,4,15359.447293040135,368,1.4603174603174602
GradientBoosting,0.0,518,61.77606177606177,2022-10-10,2025-10-05,1531.4196994023132,15.314196994023133,7.1778734372594855,518,292,226,56.37065637065637,2.95640868610483,17.14244012064565,15.372446087726665,1.4408012440907034,-206.06163365785505,1.8936746134578786,1.5744486112669063,1.9824790893814312,3.7904470948958755,7.4318526560120555,8,5,11531.419699402313,518,2.0555555555555554
GradientBoosting,0.05,518,61.77606177606177,2022-10-10,2025-10-05,5059.742646939618,50.597426469396176,22.041021842022303,500,283,217,56.599999999999994,10.119485293879235,39.385188705465325,28.04730763459478,1.8313377774152864,-357.021790632567,2.8721447642688287,2.968631225489606,4.363049815445052,7.67406368795389,14.172083552588836,8,5,15059.742646939618,518,2.0555555555555554
