trade_number,equity
217,13242.54949289191
218,13438.592798665359
219,13558.426623692383
220,13558.426623692383
221,13558.426623692383
222,13514.973613925145
223,13514.973613925145
224,13600.423289666336
225,13600.423289666336
226,13600.423289666336
227,13630.2343307472
228,13650.50576792726
229,13601.750445807953
230,13689.992831784768
231,13622.295804943034
232,13596.62002947446
233,13736.695668729315
234,13754.764793425258
235,13794.598526467937
236,13794.598526467937
237,13826.598313719598
238,13748.810692683004
239,13996.94731803959
240,14053.504638984106
241,14135.033623382165
242,13998.693085473653
243,13953.779476559608
244,13966.690723383104
245,13922.529678549654
246,14160.74202020544
247,14160.74202020544
248,14059.802925137772
249,14093.674663854861
250,14101.288253340885
251,14085.586837178676
252,13976.799362201724
253,14038.68123960626
254,14196.980759970746
255,14300.067522617068
256,14167.287348817368
257,14275.200429447512
258,14340.828209141766
259,14390.108749754056
260,14390.108749754056
261,14451.162060385082
262,14451.162060385082
263,14451.162060385082
264,14451.162060385082
265,14509.015269588435
266,14509.015269588435
267,14587.9714191964
268,14552.33566710864
269,14429.657460179982
270,14388.672506237577
271,14508.626412487585
272,14697.575563507411
273,14707.46121049595
274,14707.46121049595
275,14707.46121049595
276,14609.897652462221
277,14550.838648184683
278,14555.83920091075
279,14549.418362081837
280,14573.989735668158
281,14515.81111189631
282,14625.734890425942
283,14671.870441072442
284,14629.15599528422
285,14651.450202234468
286,14671.617127803755
287,14607.895126542327
288,14607.895126542327
289,14573.519545439061
290,14553.978090368333
291,14601.06368171023
292,14601.06368171023
293,14559.059488698489
294,14772.163249378564
295,14772.163249378564
296,14902.192880813469
297,14875.400435843958
298,14814.484655499553
299,14795.303451202857
300,14795.303451202857
301,15087.822371254648
302,15106.658848908286
303,15042.424966895029
304,15068.674718944714
305,15122.877484801496
306,15122.877484801496
307,15310.95828411309
308,15120.248184701044
309,15181.330210521573
310,15181.330210521573
311,15181.330210521573
312,15181.330210521573
313,15206.081721361814
314,15206.081721361814
315,15248.223501225211
316,15251.245069495326
317,15251.245069495326
318,15330.336222646474
319,15347.673693823426
320,15322.777941506169
321,15287.13993200381
322,15205.887523471174
323,15211.76766718541
324,15271.567273498136
325,15275.666040499827
326,15386.524799976742
327,15462.643775370154
328,15462.643775370154
329,15462.643775370154
330,15362.803458660399
331,15468.975264757919
332,15468.975264757919
333,15466.474085209698
334,15473.615587071863
335,15781.295404680413
336,15738.481274217775
337,15596.898720125882
338,15596.898720125882
339,15769.718815202323
340,15828.180805008291
341,15942.37798534544
342,16019.369318109046
343,16019.369318109046
344,16076.342504601498
345,16051.512100588694
346,16055.288411549622
347,16063.086550281248
348,16103.687491703873
349,16051.336790098667
350,16032.211820251943
351,16329.204346941551
352,16329.204346941551
353,16329.204346941551
354,16329.204346941551
355,16329.204346941551
356,16329.204346941551
357,16329.204346941551
358,16325.108140547192
359,16310.62552454146
360,16387.02733535861
361,16388.38863941537
362,16366.711333941683
363,16313.526552457699
364,16327.810263950327
365,16315.702546442093
366,16305.34763575687
367,16918.368124372253
368,17145.25062063104
369,17145.25062063104
370,17247.884628146447
371,17247.884628146447
372,17247.884628146447
373,17345.136056659187
374,17441.92165163463
375,17441.92165163463
376,17538.511014563093
377,17570.970850999856
378,17616.776683224303
379,17601.466041030988
380,17643.708994496134
381,17826.207953133482
382,18056.057880544806
383,18056.792554294443
384,18056.792554294443
385,18056.792554294443
386,17879.127257948152
387,17841.844331705728
388,17915.138944808226
389,18086.65736396862
390,18078.344355254278
391,18084.37589862173
392,18202.125251515597
393,18219.480571356195
394,18219.480571356195
395,18561.545328408534
396,18670.108546122643
397,18755.105479891394
398,18718.810701638584
399,19019.652029952296
400,18784.032800499543
401,18844.211601085022
402,19048.594939314535
403,19048.594939314535
404,19048.594939314535
405,19016.34290082968
406,19016.34290082968
407,19016.34290082968
408,19016.34290082968
409,19016.34290082968
410,19229.836201264206
411,19004.448331685904
412,18845.662883576166
413,19197.350382210727
414,19238.996403923567
415,19287.415389696183
416,19274.12254575419
417,19281.83774879725
418,19299.82047541928
419,19416.39494149049
420,19416.39494149049
421,19249.01445568482
422,19540.187373083125
423,19569.672540125808
424,19404.042346246417
425,19413.055121731108
426,19502.573676209842
427,19442.734702582482
428,19569.072678775156
429,19840.345929606607
430,20151.9299828065
431,20149.55524504998
432,20116.43207970367
433,20158.817160607825
434,20215.738434332558
435,20405.640618395366
436,20746.047832234388
437,20894.907802306378
438,20894.907802306378
439,20894.907802306378
440,20655.79246164483
441,20644.140482039373
442,20644.140482039373
443,20786.05362979506
444,20786.05362979506
445,20786.05362979506
446,20761.33219944236
447,20599.842912997457
448,20682.728609273152
449,20682.728609273152
450,20661.556112205384
451,20779.090305601527
452,20514.7196769413
453,20402.63604023254
454,20501.257396938734
455,20718.401408640322
456,20601.752025222147
457,20664.148956903282
458,20868.870222433397
459,20945.775477376133
460,21148.789807125566
461,21151.254346534573
462,21151.254346534573
463,21449.454929962936
464,21311.98700637357
465,21478.584635772382
466,21567.798822276567
467,21567.798822276567
468,21520.75762148944
469,21520.75762148944
470,21294.74205142877
471,21489.03324754766
472,21383.332357995994
473,21902.806499178296
474,21943.912409217482
475,21934.67273480567
476,22279.341447476934
477,22494.030371317484
478,22583.575096590735
479,22572.872974598617
480,22710.758159976827
481,22718.99522047281
482,22728.941492289385
483,22640.641476526744
484,22645.525426345106
485,22774.480688663378
486,22774.480688663378
487,22776.487874031463
488,22730.213067521156
489,22757.655458774778
490,22753.62749578396
491,22748.138961413675
492,22781.511772452213
493,22889.79155577261
494,22628.994280997922
495,22662.54067847945
496,22705.06710523932
497,22764.573616624453
498,22764.573616624453
499,22690.548566617585
500,22687.173908182303
501,22781.777386798633
502,22766.46704111567
503,22787.137679400723
504,23025.967176238726
505,22979.679510997998
506,22979.679510997998
507,22661.557048180493
508,22804.89295588634
509,22780.23929053989
510,22906.80512537056
511,22981.237460553566
512,22899.96009328896
513,23107.236976677035
514,23242.05929928971
515,23262.482289914624
516,23229.972662498774
517,23247.88926370172
518,23397.434897959138
