date,ethereum
2020-07-12,4.10958904109589
2020-07-19,6.128334534967555
2020-07-26,13.193943763518384
2020-08-02,13.193943763518384
2020-08-09,10.165825522710886
2020-08-16,9.156452775775053
2020-08-23,6.128334534967555
2020-08-30,10.165825522710886
2020-09-06,7.137707281903388
2020-09-13,6.128334534967555
2020-09-20,5.118961788031723
2020-09-27,4.10958904109589
2020-10-04,4.10958904109589
2020-10-11,4.10958904109589
2020-10-18,5.118961788031723
2020-10-25,5.118961788031723
2020-11-01,6.128334534967555
2020-11-08,7.137707281903388
2020-11-15,9.156452775775053
2020-11-22,16.22206200432588
2020-11-29,12.184571016582552
2020-12-06,8.147080028839222
2020-12-13,11.175198269646721
2020-12-20,12.184571016582552
2020-12-27,22.278298485940876
2021-01-03,59.62509012256668
2021-01-10,47.5126171593367
